data_source,supply_head_in,delivery_head_in,no_drive_pipe,drive_pipe_length_in,no_check_valve,check_valve_in,waste_valve_in,temperature_c,friction_factor_in,vol_efficiency_pct,en_efficiency_pct,delivery_flow_gpm
imece_2025,76.75,122,2,55.90551181,1,2,0.75,20,0.581226159,14.43298969,22.94234192,0.33285672
imece_2025,76.75,122,2,55.90551181,1,2,0.75,20,0.581226159,14.52991453,23.09641137,0.3368193
imece_2025,76.75,122,3,55.90551181,1,2,0.75,20,0.486175182,8.9678511,14.25508579,0.21001674
imece_2025,76.75,122,3,55.90551181,1,2,0.75,20,0.486175182,8.701384311,13.83151643,0.209224224
imece_2025,76.75,122,3,55.90551181,1,2,0.75,20,0.486175182,8.55649902,13.60121017,0.207639192
imece_2025,76.75,122,4,55.90551181,1,2,0.75,20,0.350825604,6.360994511,10.11128769,0.156125652
imece_2025,76.75,122,4,55.90551181,1,2,0.75,20,0.350825604,6.25,9.93485342,0.1585032
imece_2025,76.75,122,4,55.90551181,1,2,0.75,20,0.350825604,6.300484653,10.01510264,0.15454062
imece_2025,76.75,122,1,55.90551181,1,2,0.75,27.5,0.932493516,32.57224402,51.77607519,0.723567108
imece_2025,76.75,122,1,55.90551181,1,2,0.75,27.5,0.932493516,30.78202995,48.93039288,0.7330773
imece_2025,76.75,122,1,55.90551181,1,2,0.75,27.5,0.932493516,31.56028369,50.16748677,0.70533924
imece_2025,76.75,122,2,55.90551181,1,2,0.75,27.5,0.581226159,24.56896552,39.05425138,0.45173412
imece_2025,76.75,122,2,55.90551181,1,2,0.75,27.5,0.581226159,21.82410423,34.69108426,0.477887148
imece_2025,76.75,122,2,55.90551181,1,2,0.75,27.5,0.581226159,20.67669173,32.86718425,0.4358838
imece_2025,76.75,122,3,55.90551181,1,2,0.75,27.5,0.486175182,14.96598639,23.78958098,0.34870704
imece_2025,76.75,122,3,55.90551181,1,2,0.75,27.5,0.486175182,13.38582677,21.2777963,0.26945544
imece_2025,76.75,122,3,55.90551181,1,2,0.75,27.5,0.486175182,12.87878788,20.47181917,0.26945544
imece_2025,76.75,122,4,55.90551181,1,2,0.75,27.5,0.350825604,8.171206226,12.98875778,0.16642836
imece_2025,76.75,122,4,55.90551181,1,2,0.75,27.5,0.350825604,7.784431138,12.37394917,0.15454062
imece_2025,76.75,122,4,55.90551181,1,2,0.75,27.5,0.350825604,7.512268781,11.94132627,0.157710684
imece_2025,76.75,122,1,55.90551181,1,2,0.75,27,0.932493516,28.08219178,44.63879345,0.64986312
imece_2025,76.75,122,1,55.90551181,1,2,0.75,27,0.932493516,27.94612795,44.42250957,0.65778828
imece_2025,76.75,122,1,55.90551181,1,2,0.75,27,0.932493516,28.52348993,45.34027064,0.6736386
imece_2025,76.75,122,2,55.90551181,1,2,0.75,27,0.581226159,22.10144928,35.13194543,0.48343476
imece_2025,76.75,122,2,55.90551181,1,2,0.75,27,0.581226159,21.07142857,33.49464867,0.46758444
imece_2025,76.75,122,2,55.90551181,1,2,0.75,27,0.581226159,21.47152458,34.13063191,0.481057212
imece_2025,76.75,122,3,55.90551181,1,2,0.75,27,0.486175182,14.14141414,22.47886026,0.33285672
imece_2025,76.75,122,3,55.90551181,1,2,0.75,27,0.486175182,13.94557823,22.16756409,0.32493156
imece_2025,76.75,122,3,55.90551181,1,2,0.75,27,0.486175182,13.89365352,22.08502578,0.32096898
imece_2025,76.75,122,4,55.90551181,1,2,0.75,27,0.350825604,7.865168539,12.50228745,0.19416642
imece_2025,76.75,122,4,55.90551181,1,2,0.75,27,0.350825604,7.255520505,11.53320523,0.18227868
imece_2025,76.75,122,4,55.90551181,1,2,0.75,27,0.350825604,7.317073171,11.63104791,0.1783161
imece_2025,76.75,122,1,55.90551181,1,2,0.75,19.1,0.932493516,29.05405405,46.18364293,0.68156376
imece_2025,76.75,122,1,55.90551181,1,2,0.75,19.1,0.932493516,29.2358804,46.47266982,0.69741408
imece_2025,76.75,122,1,55.90551181,1,2,0.75,19.1,0.932493516,28.37837838,45.10960472,0.66571344
imece_2025,76.75,122,2,55.90551181,1,2,0.75,19.1,0.581226159,22.49134948,35.75172165,0.5151354
imece_2025,76.75,122,2,55.90551181,1,2,0.75,19.1,0.581226159,22.94034091,36.46542789,0.511965336
imece_2025,76.75,122,2,55.90551181,1,2,0.75,19.1,0.581226159,22.68967997,36.06698315,0.500077596
imece_2025,76.75,122,3,55.90551181,1,2,0.75,19.1,0.486175182,15.22491349,24.20116542,0.34870704
imece_2025,76.75,122,3,55.90551181,1,2,0.75,19.1,0.486175182,14.49814126,23.04590533,0.339989364
imece_2025,76.75,122,3,55.90551181,1,2,0.75,19.1,0.486175182,14.75522081,23.45455296,0.341574396
imece_2025,76.75,122,4,55.90551181,1,2,0.75,19.1,0.350825604,8.575241909,13.63100342,0.203676612
imece_2025,76.75,122,4,55.90551181,1,2,0.75,19.1,0.350825604,8.226810882,13.07714564,0.198921516
imece_2025,76.75,122,4,55.90551181,1,2,0.75,19.1,0.350825604,7.967479675,12.66491883,0.19416642
bhakta_2026,76.75,122,1,55.90551181,1,2,0.75,18.6,0.934168714,17.20662347,27.35124513,0.378822648
bhakta_2026,76.75,122,1,55.90551181,1,2,0.75,18.6,0.934168714,17.56272401,27.9172942,0.38833284
bhakta_2026,76.75,122,1,55.90551181,1,2,0.75,18.6,0.934168714,16.03053435,25.48176144,0.33285672
bhakta_2026,76.75,122,2,55.90551181,1,2,0.75,18.6,0.582232425,15.49295775,24.62724228,0.34870704
bhakta_2026,76.75,122,2,55.90551181,1,2,0.75,18.6,0.582232425,15.30944625,24.33553672,0.37248252
bhakta_2026,76.75,122,2,55.90551181,1,2,0.75,18.6,0.582232425,15.54054054,24.70287877,0.36455736
bhakta_2026,76.75,122,3,55.90551181,1,2,0.75,18.6,0.486891426,15.98915989,25.41599357,0.46758444
bhakta_2026,76.75,122,3,55.90551181,1,2,0.75,18.6,0.486891426,16.4893617,26.21110264,0.49135992
bhakta_2026,76.75,122,3,55.90551181,1,2,0.75,18.6,0.486891426,18.29038341,29.0739645,0.461244312
bhakta_2026,76.75,122,4,55.90551181,1,2,0.75,18.6,0.350825604,8.823529412,14.02567542,0.2377548
bhakta_2026,76.75,122,4,55.90551181,1,2,0.75,18.6,0.350825604,8.823529412,14.02567542,0.2377548
